riddle,choice0,choice1,choice2,choice3,choice4,label
废水浸清泉 （打成语一）,势不两立,为伍,落井下石,蝇营狗苟,同流合污,4
看他人脖子，晦气 （打一成语）,人小鬼大,满身伤痕,善始善终,蒙头转向,一尘不染,3
或侍巾栉，或持尘拂，或调筝瑟，或抱琵琶 （唐诗目）,马嵬二首,怀良人,寄令狐郎中,华阳集,列女操,4
相思又一年 （经济作物）,茄子,莴笋,四季豆,花菜,蒜苗,2
心毒手狠名声臭，爱吃蜘蛛昆虫肉，谁若不慎上了钩，这个罪可不好受。 （打一动物）,蝎子,蛇,狼人,牛头,蜥蜴,0
最长的一天 （打一成语）,没着没落,夜不能眠,愁肠百结,度日如年,守活寡,3
以后也要像解放军叔叔一样 （3字古官职）,大学士,左都御史,兵部尚书,内阁首辅,内阁首辅,1
西曰长庚 （打一《聊斋志异》篇目）,邓瀛,郑以伟,邓瀛,金生色,郎中,3
双方在外打起来 （打一成语）,俗人,自作自受,怒气冲冲,出奇制胜,破釜沉舟,3
国庆重阳传捷报 （打一成语）,焦急,敲山震虎,求全责备,意志消沉,无孔不入,1
四角方方，随身莫忘，伤风咳嗽，它就着忙。 （打一物）,太空豆,楼梯,小麦,长矛,在晴朗的天空下,1
身穿珍贵软皮袄，头宽尾长形似猫，陆上水下显身手，捕食鱼蛙和水鸟。 （打一动物）,雪鸡,菜青虫,天牛郎,苍蝇,翠鸟,2
东壁那边是老子 （打一成语）,节外生枝,隔墙有耳,祸从口出,泄密,不怕一万,1
众人皆谦逊 （打一成语）,满不在乎,若无其事,耸耸肩,一本正经,得意洋洋,0
头遍读错了 （打一成语）,因果循环,执迷不悟,一念之差,所托非人,罪恶的深渊,2
望蟾宫 （歌曲名）,湘味,北京的金山上,一样的月光,明天会更好,及时行乐,2
提起领导无话谈 （打一成语）,高谈阔论,说长道短,搬弄,人前背后,评头品足,1
夫君名登龙虎榜 （古代官名）,长史,从九品,兵部尚书,节度使,京兆尹,0
从此阅新书 （打一古代著作）,浦起龙,说岳全传,三国演义,搜神记,笔下生花,3
同是外币，有人爱之，有人怒之 （打一成语）,无依无靠,闭口不言,尖叫起来,浮光掠影,曹冲称象,4
身背弯弯漏斗，抬到黄牙海口，有力进口，无力丢走。 （打一动物）,鹧鸪,狼犬,树袋熊,低飞,隼,2
出身在山里，住身在庙里，敲一记，笑嘻嘻。 （打一物）,十八罗汉,木鱼,法鼓,撞钟,笛子,2
一到中原就集中 （打二字中药）,何首乌,何首乌,玉竹,玉竹,何首乌,2
上穷碧落下黄泉 （打一报刊名）,海洋探秘,旅游天地,摄影世界,中华传奇,丽江慢生活,0
著手成春 （唐诗目）,参知政事,回乡偶书,枫桥夜泊,春日京中有怀,柳中庸,3
孺子牛 （歌曲名）,阴谋家,双面人,可怜虫,小丑,邪恶,2
即兴伴奏 （打成语一）,声东击西,说时迟，那时快,厄运当头,无隙可乘,的的,0
教师退休 （打一成语）,徐万山,自古英雄出少年,伉俪情深,惊涛骇浪,蒙头转向,4
楼上一人算五家，楼下四人算一家，为了算好一笔账，楼上楼下来打架。 （打一物）,信封,尿液分析仪,味精,农具,太阳能热水器,3
说走咱就走 （四字电影）,停战以后,斯退丁纽斯,总统行动,埃尔皮迪奥·基里诺,大漠紫禁令,0
雨前牵牛且莫愁 （打三字外国名著）,茶花女,简·爱,唐璜,小仲马,悲惨世界,3
十八姑娘一枝花 （打一成语）,老大徒伤悲,太突然,异想天开,齐家之宝,少妇,4
身披鳞甲色彩多，不做鲜汤请客喝，四海虽大不是家，半缸清水好快活。 （打一动物）,江鸥,熊猫,熊皮,山羊绒,蝎子,4
下穿草裙无上衣，没事站在门角里，每天出来走几次，灰尘垃圾都躲起。 （打一物）,稀释液,核桃手串,烟,力臂,锣,2
玄德吾弟也 （药名）,味噌酱,海带,墨鱼,昆布,日式高汤,3
故事连载 （打一成语）,俯拾即是,史不绝书,忠臣义士,后世,司马迁,1
名字叫牛不像牛，角儿长在鼻上头，虽然力气不算小，从不见它拉犁头。 （打一动物）,昆虫纲,土球子,披毛犀,贝壳,河蚌,2
造起三个角，打开四个角，不是铜的，是铁贴的。 （打一物）,塑料,卫生球,弹花,筏子,中国金融,4
风凉话 （打一成语）,雄霸一方,大权独揽,人格高尚,狂妄无知,不寒而栗,4
小飞机，爱飞行，漫山遍野全是它，爱吃蚊虫爱蜕皮。 （打一动物）,蛤蟆,飞翔,柯基,蝗虫,海星,3
小小身躯圆又胖，自古住在房檐上，虽然没有针和线，织出网来很像样。 （打一动物）,虫,蜥蜴,蝎子,怪物,蜘蛛,4
红船头，黑船篷，二十四只篙子两边撑。 （打一动物）,鲸,鳄,动物园里,松鸭,黄蜂,0
匡衡夜读书，无光哪里借。 （打一成语）,泄密,隔墙有耳,节外生枝,不怕一万,祸从口出,1
家住曼谷 （打一成语）,兴奋不已,向壁虚造,嚷嚷,牛妖,罔顾,1
皮儿有红又有绿，长在树上真美丽，味道酸甜又可口，营养丰富人爱吃。 （打一水果）,三星,苹果,梨,小米,apple,2
有字又有画，常在墙上挂，千金买不到，谁见谁都夸。 （打一物）,以资鼓励,照片,挂历,奖状,军功章,2
一身疙瘩没有毛，终日蹲在坑边嚎。 （打一动物）,猛犸象,藕,犀牛,豺,达氏鲟,1
我守在边防线上 （打一成语）,跨越千山万水,不切实际,鸳鸯不独宿,一街两巷,窝窝囊囊,3
大三角，可折叠，脖上挂，很神圣。 （打一物品）,擦擦克林,纸巾盒,计算器,邮票,转笔刀,2
边炮巧架河两边 （商品名）,手电筒,灯泡,发光源,氙气,瓦,1
左右佩剑者 （打一成语）,浮想联翩,搜肠刮肚,畏葸不前,不见,待人接物,4
柞蚕吐丝 （打成语一）,与虎谋皮,作茧自缚,嫁祸于人,一步错,笼中之鸟,1
青竹竿，搭凉棚，一年一次小长虫。 （打一植物）,蚧壳虫,花粉颗粒,杨絮,柳树,臭椿,3
小小货郎，不挑货担，背着钢针，满地乱窜。 （打一动物）,刺猬,狗熊,兔子,马蜂,一只狼,4
爷也长，娘也长，养个儿子寸把长。 （打一植物）,尖椒,刀箭,豆类作物,豌豆苗,满天星,3
说到伤心处，谁人不落泪。 （打一古代著作）,音学五书,近思录,楚辞集注,二十四史,文献通考,2
魄 （二字电影）,地下的天空,烽火少年,魔表,二子开店,豆丁奇遇记,2
意志不坚 （歌曲名）,自作自受,爱一个人好难,心太软,见异思迁,笨小孩,1
第一风流最损人 （四字常言）,元气大伤,腹背受敌,惨胜,全军覆没,一败涂地,0
印刷书籍 （打成语一）,大路朝天,知识分子,一面如旧,没落,云山雾罩,2
先酒后拳 （称谓）,党代表,首席检察官,和尚,说中文,道士,2
蛤蟆功 （打一成语）,胜利在望,稳扎稳打,以逸待劳,全力进攻,一鼓作气,4
体长近三米，身穿雪白衣，老家住北极，爱在冰上戏。 （打一动物）,亚洲象,老鹰,蛹,天鹅,矮脚马,1
观众都不差 （打三字电影）,思无邪,来日方长,三人行,道可道,牵手,2
闭着眼睛说瞎话 （常言俗语三字）,无所谓,徒有其表,以人为本,什么世道,绊脚石,0
一间小房两家住，没房顶来缺窗户，一家开的黑染房，一家开的麻绳。 （打一物）,万能板,咖啡,玻璃,五香粉,钉子上,0
远看一匹马，近看没尾巴，肚里风雷走，口里吐黄沙。 （打一物）,风谷机,碾子,扇车,辘轳,木犁,4
绝望！ （打一成语）,怪胎,其心可诛,紧闭双眼,讨人嫌,关键先生,1
孕妇专座无人抢 （打一成语）,潘驴邓小闲,洁身自爱,英雄难过美人关,坐怀不乱,好色之徒,3
俄 （打一成语）,左右逢源,小心眼,远见卓识,末路,美丽的样子,0
腿边四条腿，背后一个背，你和它挨着，一定猜得着。 （打一家居）,门,敲开,敲开,木床,敲开,0
老菜彩衣娱高堂 （打成语一）,兹事体大,犯上作乱,置之不顾,视同儿戏,轻率,3
乌龟下楼梯 （打一俗语）,知己知彼,胡搅蛮缠,讨人喜欢,牡丹花下死，做鬼也风流,舍不得,3
此药为宜饭后服 （常言俗语四字）,一切从简,奇绝,开拓,从轻发落,吞吞吐吐,0
大眼睛，黑眼圈，圆圆胖胖逗人爱。攀得高，爬得快，竹笋野果当饭菜。 （打一动物）,鼠,非洲动物,蛔虫,刺毛虫,松鸭,0
八字胡，往上翘，叫声像个娃娃叫。 （打一动物）,小橘,大熊猫,狐狸,蝴蝶,狸猫,1
小时光喝水，长大净吃肉，天天都补血，长得却精瘦。 （打一动物）,大象,马,赤鳞,穿山甲,马猴,1
对人要真心 （打一称谓）,大师傅,青年作家,师祖,春归红楼,才识过人,0
要将无才者免职 （打一成语）,欲罢不能,回味无穷,着迷,诱人,难以抗拒,0
对拜叩首再干杯 （打一成语）,事实真相,拿来主义,论语,机不可失,背道而驰,3
有志归完璞 （古代著作）,聊斋志异,石头记,程乙本,红楼梦,高鹗,1
元首逝世 （常言俗语三字）,大鸣大放,装糊涂,小说家,一元化,思维惯性,3
问女何所思 （称谓职务）,进士,前途无量,探花,状元,举人,4
睛天霹雳 （打一常用成语）,成名,初露锋芒,翘楚,一鸣惊人,后来居上,1
从南来个小胖子，不卖别的单卖针，大针卖了十来个，小针卖了数不清。 （打一动物）,马蜂,一只狼,刺猬,狗熊,兔子,2
跳槽之人占多数 （打一成语）,女主,云山雾罩,前后左右,生死恋,越战越勇,3
一架小飞机，飞行看天气，晴天飞得高，阴天飞得低。 （打一动物）,蝴蝶,蜻蜓,瓢虫,透明的翅膀,低飞,4
七零八落 （韵目）,干地黄,思归乐,车前子,七虞,八齐,4
聪明反被聪明误 （贬称谓）,江洋大盗,寻花问柳,放荡的女人,多情种子,恶少,1
虽称小龙却无足，吞噬鸡鼠格外毒。 （打一动物）,雪狼,雀鹰,黑鱼,隼,乌鸡,4
第一人称 （歌曲名）,我爱沈阳,洪湖水浪打浪,缘分已尽,晴雯歌,稳固,0
独到之处 （打一成语）,人面兽心,无数,冷暖,生存,怔住,1
自己的事自己干 （俗语五字）,小心眼,胡搅蛮缠,得理不饶人,蹬鼻子上脸,火爆脾气,2
会车必须顺道行 （打一成语）,爱情的旅程,所作所为,确切,拳拳服膺,一干二净,0
试题以浅为宜 （打一成语）,深不可测,顶尖高手,老道,神出鬼没,武圣,0
锥子尾巴瓜子嘴，身上贴着四条腿，爬墙能力强。 （打一动物）,貉子,蜗牛,苏门羚,钹,大白鹅,1
一生未受饥 （打一成语）,饱经世故,精明强干,老成持重,彻悟人生,处之泰然,0
晶莹的泪，悄悄地落 （打一成语）,胸无点墨,英雄气短,明珠暗投,愚不可及,埋没人才,2
夜合欢花 （打一外国文学作品）,乔万尼奥里,并非,拉马克,天方夜谭,空中楼阁,3
面孔像只猫，其实是只鸟，夜夜去巡逻，田鼠逃不了。 （打一动物）,江鸥,猞猁,草鸮,蛛丝,黑鹳,1
主人唱歌客敲锣 （打一成语）,声东击西,诱敌深入,出其不意,围魏救赵,调虎离山,0
农夫心内如汤煮·碎锦格 （水果名）,大绵球,石榴,干荔枝,香蕉,龙眼肉,4
职 （打一成语）,无机可乘,神出鬼没,耳听八方,前后左右,举棋若定,4
龙尾 （中国电影）,活着不容易,三十而立,功成名就,人到中年,知足常乐,3
四只脚的能生蛋，乌龟团鱼都不算。 （打一动物）,大老鼠,一条蛇,蜈蚣,壁虎,蜘蛛,2
好细腰 （打一成语）,惊艳,可圈可点,美中不足,差强人意,最特别,2
四个小瘦子，合戴顶帽子。 （打一家居用品）,写字台,皮筋,剪刀,木床,写字台,2
有智不在年高 （打一常言俗语三字）,行家,好点子,耍手腕,无本生意,犯浑,1
长在山上，落在肩上，干活躺下，休息靠墙。 （打一物）,箩筐,背篓,箢子,扁担,锄头,1
短斤少两者罚 （四字常言）,优点,差强人意,面面俱到,缺陷,不足之处,4
十五始展眉 （打一成语）,诡辩,自圆其说,漏洞百出,牵强附会,避重就轻,1
一棵麻，多枝丫，雨一淋，就开花。 （打一生活用品）,针线包,衣架,就在你身后,雨伞,我的帽子,3
浮游水面 （外国文学作品名）,随风,木木,小芳,红与黑,浪花,4
大树招风 （食品名）,木耳,豆腐皮,菠菜,海带,香菇,4
一只蜻蜓两翅膀，飞翔起来嗡嗡响，常向大地撒农药，耕耘播雨它帮忙。 （打一物）,运-5b,农业飞机,空姐,麦道80,防化兵,1
说它是头牛，不会拉犁头，说它力气小，背着屋子走。 （打一动物）,蚬子,猞猁,河马,赤鳞,鳞翅,0
三星白兰地 （唐诗目）,月下独酌,君莫停,念奴娇·赤壁怀古,回乡偶书,将进酒,0
十六为君妇 （打一成语）,如释重负,大喜过望,相顾失色,二话不说,慌了手脚,3
天上嫦娥人不识 （打一称谓）,高中女生,小姑娘,打工妹,男孩儿,班主任,2
小小个头似苹果，美女都爱当水果。 （打一蔬菜）,花菜,番茄,西红柿,土豆,圣女果,3
独身 （打一成语）,孤独,彷徨,又是一个人,若有所失,形单影只,4
倾杯斜倚醉颜酡 （三字口语）,守活寡,露一手,脉脉含情,随声附和,一窍不通,1
琼花碎玉落山涧 （中药方剂）,桑杏汤,玉女煎,细辛,泻白散,芦根,1
寂寞无行问黄鹂 （歌曲名）,我从山中来,春天在哪里,穿花衣,四季歌,铃儿响叮当,1
儿童用品 （打一称谓）,山盟海誓,温文尔雅,先行者,锚,白领丽人,2
儿童猜谜有味道·掉尾格 （西药名）,淘米水,小苏打,白醋,牙膏,洗洁精,2
黑背白肚皮，一副绅士样，两翅当划桨，双脚似鸭蹼。 （动物）,非洲动物,企鹅,红袋鼠,北极熊,海豹,1
云长想起玄德来 （打一成语）,装疯卖傻,纵虎归山,人材出众,五马分尸,引人注目,4
兴霸伏首愿认输 （打一成语）,名不虚传,叹为观止,无人能比,甘拜下风,略高一筹,3
爹也长，娘也长，养出儿子像刀样。 （打一植物）,刀豆,莴苣,大头菜,茄子,苤蓝,0
说它是条牛，却不会拉梨，笑它力气小，背着屋子跑。 （打一爬行动物）,屎壳郎,小瓢虫,青蛙,乌龟,青蛙,3
两片红划楫，划到田头歇一歇，戏文唱一唱，点心吃一吃。 （打一动物）,鸽,鸡,鹅,鸭,山羊,0
黄鼠狼，尾巴长，日里翻跟斗，夜里乘风凉。 （打一物）,吊桶,舀子,担杖,水瓢,辘轳,4
头戴大栗子，身穿白绫子，行路公子样，说话蛮子腔。 （打一动物）,鹅,山羊,鸭,鸽,鸡,3
姐妹七八个，携手并肩坐，分家不团圆，红被给撕破。 （打一水果）,椰子,番荔枝,哈密瓜,无花果,杨梅,3
口技行当（打一成语）,平叛,视同儿戏,闻过则喜,一路走来,藏垢纳污,2
夺冠无望 （打一俗语）,知己知彼,骑驴找驴,人人猎头,机不可失,一将难求,3
一朵花，三四瓣，大热天，呼呼转。 （打一电器）,电熨斗,口琴,取暖器,砂纸,熨斗,0
诗仙信简 （《聊斋志异》篇目）,洛敏,洛敏,楚老,萧凡,李伯言,4
常年带个玻璃帽，常喝浓酒醉不倒，沾点火星发脾气，头上呼呼冒火苗。 （打一物）,直接加热,酒精灯,铝壶,蜡烛,火柴,1
远看像个钉，眼睛似颗星，有翅没有毛，有脚不会跑。 （打一动物）,瓢虫,蜻蜓,低飞,蝴蝶,透明的翅膀,3
嫁个老公欠了账 （打一成语）,救亡图存,匹夫有责,多难兴邦,忘战必危,保家卫国,1
镇宅 （歌曲名）,生长,林,让世界充满爱,回家,新唱,3
少年时摇扇子，老年时扎包袱。 （打一蔬菜）,土豆,蒜薹,山药,尖椒,荸荠,0
节节楼，节节高，节节楼上长花椒。 （打一植物）,茉莉,叶子,热带植物,冬笋,马唐,2
一只鼓，上下空，节日里，红彤彤。 （打一物）,灯笼,炮竹,铃铛,蜡烛,窗花,1
超级好牙刷（打一成语）,穷大方,抠抠搜搜,吝啬鬼,一毛不拔,死要面子活受罪,3
青蓬蓬，蓬蓬青，开黄花，结铜铃，开白花，归娘家。 （打一植物）,金橘,竹篙,野花,紫苜蓿,黑木耳,4
战事将息 （西药名）,鸬鹚,双黄连,祥和,赛庚啶,祥和,2
侃吃在庐州 （打一成语）,水火无情,木已成舟,摸着石头过河,红灯笼,粗俗,0
举报经查尽实情 （打一成语）,火力全开,挺身而出,关键时刻,神经刀,弹无虚发,4
百啭无人能解 （酒别称）,客至,曲生,曲生,寄意,君须记,1
远看像只猫，捕猎身手好。游泳又爬树，不吃青青草。 （打一动物）,体外寄生虫,小鸭子,小橘,鸽子,头虱,3
一曲吹散八千兵 （打一俗语四字）,别有用心,马靠,欢声雷动,打扮一下,心说,2
殊知几道唱新声 （歌曲名）,夜上海,听妈妈讲那过去的事,寓意,乡聚,北国之春,0
物价居高不下 （打一四字常言）,三天打鱼两天晒网,管住嘴迈开腿,贵在坚持,积少成多,熟能生巧,3
九十九对 （打一成语）,狂犬吠日,羊落虎口,皂白不分,百无一是,人生识字忧患始,3
智慧脑袋不长毛 （打一成语）,张皇幽眇,诚惶诚恐,杀身成仁,末流,宰割,2
法院各部门不受贿赂 （打一成语）,站稳脚跟,风头正劲,一决雌雄,分庭抗礼,并驾齐驱,3
只选富豪才投靠 （打一成语）,气急败坏,恼羞成怒,胡搅蛮缠,不依不饶,质问,3
不生二胎 （打二字中药名）,升麻,侧柏叶,海棠,大枣,天麻,0
嘴尖尾短似个球，长短针儿浑身有。 （打一动物）,刺猬,马蜂,兔子,狗熊,一只狼,0
蓝光闪烁北斗亮 （称谓职务）,酒保,军嫂,领事,骂山门,书记,2
细小疑问能回答 （打一成语）,难以释怀,面黄肌瘦,弱肉强食,大雁,矜矜业业,4
一稿多投难选用 （打一成语）,过河拆桥,言犹在耳,字斟句酌,无稽之谈,干部制度,1
小小一头牛，样子像纽扣，别看力气小，背着房子走。 （打一动物）,青蛙,蜗牛,小瓢虫,屎壳郎,乌龟,1
斤（打一成语）,成绩,待人接物,独在异乡为异客,兼听,无礼,1
色彩迥异居中间，四周缺牙紧相连，贴上它会更省钱。 （打一物品）,贺年卡,小全张,邮票,首日封,明信片,1
小小一个红坛子，里面装满小子子，乍看好像小灯笼，细看犹如红橘子。 （打一植物）,土豆,番茄,圣女果,西红柿,花菜,1
一朵红花头上戴，一件花衣身上盖。天还没亮就起床，唱得太阳升起来。 （打一动物）,黄鼠狼,刺毛虫,牦牛,水貂,鹿,1
吝 （打一成语）,讲明,胜友如云,奶粉门,逆向思维,众口一辞,4
发票未盖章 （打一成语）,欺人之谈,穿凿附会,聊备一格,臆说,不足为凭,4
头上一个锤，身上四面旗，屁股背根竹，夜里不知哪里宿。 （打一动物）,鹰,蝉蜕,蚰蜒,马来熊,蜜蜂,3
包胥哭国秦出兵 （打一成语）,楚楚动人,吹弹可破,妩媚,亭亭玉立,娇美,0
壬申伊始 （中药名）,大蒜,燕麦片,野味,海内存知己,野味,3
俊袭人七夕祷月 （打一成语）,长袖善舞,麻烦缠身,平心而论,不好惹,疏而不漏,2
个人包干 （中药名）,寒水石,硼砂,栀子,落得打,大腹皮,4
王者之过也 （打一外国书名）,悲惨世界,简·爱,鲁滨孙漂流记,玛丽恩巴德悲歌,托尔斯泰,4
是牛从来不耕田，体壮毛密能耐寒，爬冰卧雪善驮运，高原之舟人人赞。 （打一动物）,貉子,布谷鸟,母鸡,哨探,蚰蜒,4
枕戈待旦 （打一称谓）,爹娘,廉洁,嘚吧嘚先锋相声团,前妻,舅,3
运动学索引 （打成语一）,欲速则不达,同属,陈情表,到处碰壁,来去匆匆,0
铜钱一送，验试过关。 （打一古代著作）,宋史,文献通考,马端临,一统志,册府元龟,1
身上长白毛，红尖嘴儿翘，背上一条沟，肚里好味道。 （打一水果）,西瓜,桃子,草莓,沙果,小菠萝,0
百分不及十分强 （打一成语）,陪你慢慢变老,失窃,空穴来风,洞若观火,人寿年丰,4
头上苗叶像青葱，底下白须一大蓬。 （打一植物）,芹菜,辣椒,洋葱,大蒜,茄子,2
一个老头寸把高，浅白麻点水蛇腰。 （打一植物）,花粉颗粒,芨芨草,凤仙,吊兰,长春藤,2
恰似山间竹 （打一成语）,优柔寡断,比上不足，比下有余,转危为安,兴高采烈,谁对谁错,0
石山对石山，一洞穿中间，洞里千条路，游览兜圈圈。 （打一物）,辘轳,碾子,石磨,碓窝,捣臼,0
蜜饯黄连（打一成语）,肝胆相照,一心一意,患难之交,委曲求全,同甘共苦,4
远看一头牛，近看空阁楼，一头出白米，一头糟糠游。 （打一物）,扇车,辘轳,木犁,风谷机,碾子,2
青竹竿，顶白绒，年年有群小长虫。 （打一植物）,蚧壳虫,柳树,花粉颗粒,臭椿,杨絮,4
头长小树杈，伸开白梅花，四腿细又长，奔跑快如马（打一动物名）,长颈鹿,犀牛,牲口,猴子,狼人,0
样子像耗子，尾巴当被子，爬在树枝上，忙着摘果子。 （打一动物）,屎壳郎,马肉,小海豹,猕猴,毛驴,3
老工人经验丰富 （打一唐诗目）,送杨氏女,寻隐者不遇,长干行,滁州西涧,徐夤,0
姑苏烟雨锁苍茫 （打一成语）,一日千里,吴下阿蒙,不过尔尔,后生小子,化敌为友,1
身子细长尾巴大，沟里洞里它安家，虽有一身好皮毛，偶尔偷鸡名声差。 （打一动物）,壁虎,蛤蜊,织成,猎狗,野猪,3
口传家书 （打成语一）,朝秦暮楚,出尔反尔,言而无信,遵守承诺,挑拨离间,2
说个谜语请你猜，这把刀儿真奇怪，不削水果不切菜，能把高楼盖起来。 （打一物）,书签,鼹鼠,直升机,手电筒,积木搭建,3
计生不光女方事 （打一成语）,匹夫有责,救亡图存,保家卫国,忘战必危,多难兴邦,0
满身疙瘩长得丑，蹲着像条看家狗，捕食害虫本领大，它是庄稼好朋友。 （打一动物）,美洲豹,龟,飞蛾,狮子,黑寡妇,2
小果子似凤眼，暗红袍子装黑豆。 （打一植物）,油菜籽,盆栽,陈皮,洋槐花,蒜,0
捡漏 （打一古官名）,全唐文,杂录,通典,拾遗,鹤山集,3
出生在泥里，住身在高树，日里唱曲子，夜里乘风凉。 （打一动物）,水鸟,雏鸡,贝壳,大灰狼,孔雀,0
元宵 （打一成语）,耳鬓厮磨,亲密无间,患难与共,情同手足,朝夕相处,4
限招九人 （打一成语）,缓兵之计,王侯将相,事实真相,俗滥,无可置疑,4
吊死鬼戴花 （打一成语）,死要面子,爱显摆,没出息,吃软不吃硬,小心眼,0
慢行有好处 （打一成语）,欲速则不达,急于求成,失之毫厘，谬以千里,拔苗助长,事倍功半,0
肚子挺起心头火 （打一成语）,全力进攻,一鼓作气,胜利在望,稳扎稳打,以逸待劳,1
都说前面有的卖，诸位要买早日去 （报刊名）,成都笔记,作家,我的孤独，只剩爱你,当代小说,读者,4
虽然也是花，园中不种它，有人胸前戴，人人把他夸。 （打一物）,脸盆,钓竿,锅,驿道,印章,4
美女照镜子 （打一成语）,超然物外,文人相轻,孤芳自赏,不媚,曲高和寡,1
花落云飞蜓展冀 （中药名）,大蓟,参三七,泽泻,桑菊饮,广木香,4
下上其音 （商标品牌商号）,石马,喜之郎,美多,永芳,祖母绿,1
哑巴亏 （打一成语）,成王败寇,婆婆,华佗再世,历史基因,小康水平,4
此一时彼一时 （常言俗语四字）,那家伙,有两下子,心说,小白脸,名不虚传,1
两块饼，一样大，嘴里吃，腰里撒。 （打一物）,碓窝,辘轳,石磨,捣臼,碾子,4
有个胖子，傻头傻脑。爱吃蜂蜜，不怕蜂咬。 （打一动物）,猴子,狒狒,狗熊,猩猩,狐狸,0
一叶扁舟，重游赤壁 （打一成语）,游刃有余,今非昔比,深谙其道,驾轻就熟,信手拈来,3
单骑征蜀中 （打一成语）,谈何容易,刀兵相见,因循守旧,支支吾吾,稀里哗啦,0
嘴伸塘里，岸上说话，有它坐镇，旱涝不怕。 （打一物）,喧天,五彩缤纷,弯弯曲曲,太空轨道,ddt,4
师旷弹琴 （三字俗语）,瞎指挥,任人唯亲,乱弹琴,外行,帮倒忙,2
丁是丁，卯是卯 （动物名）,猞猁,四不象,金毛狮子,雉鸡,梅花鹿,1
预审 （打一俗语三字）,大小子,打算盘,做活儿,管账,跑江湖,1
谁的头发黑？？ （花卉树木）,黄精,何首乌,人参,灵芝,冬虫夏草,1
浑身是眼不见珠，多次投江被拉出，滴滴泪水洒一道，回家还是不进屋。 （打一物）,弹弓,扑克牌,书包,台灯,鞭炮,3
小小车厘子，红红小果子。 （打一水果）,金橘,莲蓬,柿子,桑葚,西瓜,4
秋分 （打成语一）,刚愎自用,罢相,啧啧称赞,一把手,成人之善,4
不识太公 （打一植物）,秋色,红提,侧柏叶,杏子,番茄,3
除了嫁人，别的都可以谈。 （打一成语）,拿着鸡毛当令箭,有所顾忌,伪善,情窦初开,出其不意，攻其不备,4
青竹竿，顶圆伞，凉伞脚下一窝蛋。 （打一农作物）,萝卜,红薯,香菇,南瓜,芋头,3
说你呆，你不呆，长着胡须像小孩；推一推，歪一歪，睡下去又站起来。 （打一物）,陀螺,木偶,敲鼓,不倒翁,秤砣,3
蝉联溜冰冠军 （常言俗语三字）,张家长，李家短,心上人,大鸣大放,显而易见,角度,1
预报局部有雨 （四字常言）,明天,没什么问题,告一段落,言归正传,等到了,3
